,rms0,rms1,rms2,rms3,zc0,zc1,zc2,zc3,mav0,mav1,mav2,mav3,var0,var1,var2,var3,wl0,wl1,wl2,wl3,ssc0,ssc1,ssc2,ssc3,contraction,output
0,0.008707039893694707,0.008707039893694707,0.008707039893694707,0.008707039893694707,61.0,61.0,61.0,61.0,0.006562628324510127,0.006562628324510127,0.006562628324510127,0.006562628324510127,7.581245513946102e-05,7.581245513946102e-05,7.581245513946102e-05,7.581245513946102e-05,1.2360592164212867,1.2360592164212867,1.2360592164212867,1.2360592164212867,93.0,93.0,93.0,93.0,1,4
0,0.01319150215584265,0.01319150215584265,0.01319150215584265,0.01319150215584265,68.0,68.0,68.0,68.0,0.009249720881582735,0.009249720881582735,0.009249720881582735,0.009249720881582735,0.0001739626671869292,0.0001739626671869292,0.0001739626671869292,0.0001739626671869292,2.1738543122865437,2.1738543122865437,2.1738543122865437,2.1738543122865437,99.0,99.0,99.0,99.0,1,2
0,0.032639428723336035,0.032639428723336035,0.032639428723336035,0.032639428723336035,67.0,67.0,67.0,67.0,0.024207774205193294,0.024207774205193294,0.024207774205193294,0.024207774205193294,0.0010653321522286446,0.0010653321522286446,0.0010653321522286446,0.0010653321522286446,4.959089285340134,4.959089285340134,4.959089285340134,4.959089285340134,84.0,84.0,84.0,84.0,1,5
0,0.014992891663070544,0.014992891663070544,0.014992891663070544,0.014992891663070544,91.0,91.0,91.0,91.0,0.011148471451351108,0.011148471451351108,0.011148471451351108,0.011148471451351108,0.00022478116520837046,0.00022478116520837046,0.00022478116520837046,0.00022478116520837046,2.9759564221470103,2.9759564221470103,2.9759564221470103,2.9759564221470103,114.0,114.0,114.0,114.0,1,1
0,0.005668608471122075,0.005668608471122075,0.005668608471122075,0.005668608471122075,73.0,73.0,73.0,73.0,0.003942478006117307,0.003942478006117307,0.003942478006117307,0.003942478006117307,3.213291742654093e-05,3.213291742654093e-05,3.213291742654093e-05,3.213291742654093e-05,0.8684726039909618,0.8684726039909618,0.8684726039909618,0.8684726039909618,94.0,94.0,94.0,94.0,1,6
0,0.004510945795010017,0.004510945795010017,0.004510945795010017,0.004510945795010017,62.0,62.0,62.0,62.0,0.0033407260414452956,0.0033407260414452956,0.0033407260414452956,0.0033407260414452956,2.034647058431266e-05,2.034647058431266e-05,2.034647058431266e-05,2.034647058431266e-05,0.7393624001131707,0.7393624001131707,0.7393624001131707,0.7393624001131707,101.0,101.0,101.0,101.0,1,3
0,0.00506982630481017,0.00506982630481017,0.00506982630481017,0.00506982630481017,67.0,67.0,67.0,67.0,0.003869389455368313,0.003869389455368313,0.003869389455368313,0.003869389455368313,2.569973700868932e-05,2.569973700868932e-05,2.569973700868932e-05,2.569973700868932e-05,0.8093848039738212,0.8093848039738212,0.8093848039738212,0.8093848039738212,96.0,96.0,96.0,96.0,1,3
0,0.007756028648770807,0.007756028648770807,0.007756028648770807,0.007756028648770807,68.0,68.0,68.0,68.0,0.005862266638839129,0.005862266638839129,0.005862266638839129,0.005862266638839129,6.0142669279367314e-05,6.0142669279367314e-05,6.0142669279367314e-05,6.0142669279367314e-05,1.2385272745808866,1.2385272745808866,1.2385272745808866,1.2385272745808866,97.0,97.0,97.0,97.0,1,4
0,0.017089380016382508,0.017089380016382508,0.017089380016382508,0.017089380016382508,67.0,67.0,67.0,67.0,0.01251124128907704,0.01251124128907704,0.01251124128907704,0.01251124128907704,0.0002920191006645771,0.0002920191006645771,0.0002920191006645771,0.0002920191006645771,2.7016398636095493,2.7016398636095493,2.7016398636095493,2.7016398636095493,92.0,92.0,92.0,92.0,1,2
0,0.005518259065746328,0.005518259065746328,0.005518259065746328,0.005518259065746328,67.0,67.0,67.0,67.0,0.003941232901864076,0.003941232901864076,0.003941232901864076,0.003941232901864076,3.045035582398044e-05,3.045035582398044e-05,3.045035582398044e-05,3.045035582398044e-05,0.8474681314278598,0.8474681314278598,0.8474681314278598,0.8474681314278598,101.0,101.0,101.0,101.0,1,6
