,rms0,rms1,rms2,rms3,zc0,zc1,zc2,zc3,mav0,mav1,mav2,mav3,var0,var1,var2,var3,wl0,wl1,wl2,wl3,ssc0,ssc1,ssc2,ssc3,contraction,output
0,0.027815371336501568,0.027815371336501568,0.027815371336501568,0.027815371336501568,88.0,88.0,88.0,88.0,0.021789031196650658,0.021789031196650658,0.021789031196650658,0.021789031196650658,0.0007736935767334688,0.0007736935767334688,0.0007736935767334688,0.0007736935767334688,5.408020908749722,5.408020908749722,5.408020908749722,5.408020908749722,111.0,111.0,111.0,111.0,1,1
0,0.006550301230656931,0.006550301230656931,0.006550301230656931,0.006550301230656931,52.0,52.0,52.0,52.0,0.005359292562092443,0.005359292562092443,0.005359292562092443,0.005359292562092443,4.289797006300501e-05,4.289797006300501e-05,4.289797006300501e-05,4.289797006300501e-05,0.9251251858862731,0.9251251858862731,0.9251251858862731,0.9251251858862731,113.0,113.0,113.0,113.0,1,4
0,0.07115394472072432,0.07115394472072432,0.07115394472072432,0.07115394472072432,82.0,82.0,82.0,82.0,0.05509791755033426,0.05509791755033426,0.05509791755033426,0.05509791755033426,0.0050628814286915935,0.0050628814286915935,0.0050628814286915935,0.0050628814286915935,13.083285647248546,13.083285647248546,13.083285647248546,13.083285647248546,102.0,102.0,102.0,102.0,1,5
0,0.016732018936586296,0.016732018936586296,0.016732018936586296,0.016732018936586296,61.0,61.0,61.0,61.0,0.013018991785771634,0.013018991785771634,0.013018991785771634,0.013018991785771634,0.00027993631517600996,0.00027993631517600996,0.00027993631517600996,0.00027993631517600996,2.5091451479963105,2.5091451479963105,2.5091451479963105,2.5091451479963105,89.0,89.0,89.0,89.0,1,6
0,0.025842574026351442,0.025842574026351442,0.025842574026351442,0.025842574026351442,68.0,68.0,68.0,68.0,0.019873111498852764,0.019873111498852764,0.019873111498852764,0.019873111498852764,0.0006676722535780917,0.0006676722535780917,0.0006676722535780917,0.0006676722535780917,4.155547860576899,4.155547860576899,4.155547860576899,4.155547860576899,95.0,95.0,95.0,95.0,1,3
0,0.03738409295797557,0.03738409295797557,0.03738409295797557,0.03738409295797557,72.0,72.0,72.0,72.0,0.02780786207330287,0.02780786207330287,0.02780786207330287,0.02780786207330287,0.0013975224079394327,0.0013975224079394327,0.0013975224079394327,0.0013975224079394327,6.135677218506004,6.135677218506004,6.135677218506004,6.135677218506004,91.0,91.0,91.0,91.0,1,2
0,0.017282882815181196,0.017282882815181196,0.017282882815181196,0.017282882815181196,71.0,71.0,71.0,71.0,0.01230023586741288,0.01230023586741288,0.01230023586741288,0.01230023586741288,0.000298696652657116,0.000298696652657116,0.000298696652657116,0.000298696652657116,2.44487547396435,2.44487547396435,2.44487547396435,2.44487547396435,98.0,98.0,98.0,98.0,1,6
0,0.029643504236911287,0.029643504236911287,0.029643504236911287,0.029643504236911287,68.0,68.0,68.0,68.0,0.020349950660705506,0.020349950660705506,0.020349950660705506,0.020349950660705506,0.0008787369354709068,0.0008787369354709068,0.0008787369354709068,0.0008787369354709068,4.269909628759995,4.269909628759995,4.269909628759995,4.269909628759995,99.0,99.0,99.0,99.0,1,2
0,0.03362351041832544,0.03362351041832544,0.03362351041832544,0.03362351041832544,82.0,82.0,82.0,82.0,0.02572258691367225,0.02572258691367225,0.02572258691367225,0.02572258691367225,0.0011304718632629066,0.0011304718632629066,0.0011304718632629066,0.0011304718632629066,6.165020929531722,6.165020929531722,6.165020929531722,6.165020929531722,104.0,104.0,104.0,104.0,1,5
0,0.018502973704228577,0.018502973704228577,0.018502973704228577,0.018502973704228577,77.0,77.0,77.0,77.0,0.014680017631806297,0.014680017631806297,0.014680017631806297,0.014680017631806297,0.00034235834963629167,0.00034235834963629167,0.00034235834963629167,0.00034235834963629167,3.4847659727409273,3.4847659727409273,3.4847659727409273,3.4847659727409273,101.0,101.0,101.0,101.0,1,1
0,0.005499015153338584,0.005499015153338584,0.005499015153338584,0.005499015153338584,68.0,68.0,68.0,68.0,0.004346804606922888,0.004346804606922888,0.004346804606922888,0.004346804606922888,3.0186826830364374e-05,3.0186826830364374e-05,3.0186826830364374e-05,3.0186826830364374e-05,0.7735478196616338,0.7735478196616338,0.7735478196616338,0.7735478196616338,97.0,97.0,97.0,97.0,1,4
0,0.023193134731941525,0.023193134731941525,0.023193134731941525,0.023193134731941525,65.0,65.0,65.0,65.0,0.016859511614476953,0.016859511614476953,0.016859511614476953,0.016859511614476953,0.0005378020836686663,0.0005378020836686663,0.0005378020836686663,0.0005378020836686663,3.455019398466767,3.455019398466767,3.455019398466767,3.455019398466767,81.0,81.0,81.0,81.0,1,3
0,0.025385290318806545,0.025385290318806545,0.025385290318806545,0.025385290318806545,65.0,65.0,65.0,65.0,0.018728898645742176,0.018728898645742176,0.018728898645742176,0.018728898645742176,0.0006441952538080867,0.0006441952538080867,0.0006441952538080867,0.0006441952538080867,4.037689863099271,4.037689863099271,4.037689863099271,4.037689863099271,91.0,91.0,91.0,91.0,1,2
0,0.022563039020115454,0.022563039020115454,0.022563039020115454,0.022563039020115454,71.0,71.0,71.0,71.0,0.01689994571557616,0.01689994571557616,0.01689994571557616,0.01689994571557616,0.0005090719071193267,0.0005090719071193267,0.0005090719071193267,0.0005090719071193267,4.0128747149346635,4.0128747149346635,4.0128747149346635,4.0128747149346635,107.0,107.0,107.0,107.0,1,1
0,0.057786870642922705,0.057786870642922705,0.057786870642922705,0.057786870642922705,68.0,68.0,68.0,68.0,0.04508545778956275,0.04508545778956275,0.04508545778956275,0.04508545778956275,0.0033390524703388624,0.0033390524703388624,0.0033390524703388624,0.0033390524703388624,9.829873081935949,9.829873081935949,9.829873081935949,9.829873081935949,97.0,97.0,97.0,97.0,1,5
0,0.004571210372281221,0.004571210372281221,0.004571210372281221,0.004571210372281221,93.0,93.0,93.0,93.0,0.0035879587892769372,0.0035879587892769372,0.0035879587892769372,0.0035879587892769372,2.0895961904768032e-05,2.0895961904768032e-05,2.0895961904768032e-05,2.0895961904768032e-05,0.9263959730918334,0.9263959730918334,0.9263959730918334,0.9263959730918334,141.0,141.0,141.0,141.0,1,4
0,0.010879211515486794,0.010879211515486794,0.010879211515486794,0.010879211515486794,71.0,71.0,71.0,71.0,0.007646856982492245,0.007646856982492245,0.007646856982492245,0.007646856982492245,0.00011831499088244271,0.00011831499088244271,0.00011831499088244271,0.00011831499088244271,1.562065219094562,1.562065219094562,1.562065219094562,1.562065219094562,112.0,112.0,112.0,112.0,1,3
0,0.012876805905062199,0.012876805905062199,0.012876805905062199,0.012876805905062199,68.0,68.0,68.0,68.0,0.009450150768761479,0.009450150768761479,0.009450150768761479,0.009450150768761479,0.00016577548100687816,0.00016577548100687816,0.00016577548100687816,0.00016577548100687816,2.024099209395249,2.024099209395249,2.024099209395249,2.024099209395249,109.0,109.0,109.0,109.0,1,6
0,0.024141510174289213,0.024141510174289213,0.024141510174289213,0.024141510174289213,89.0,89.0,89.0,89.0,0.01856798268663237,0.01856798268663237,0.01856798268663237,0.01856798268663237,0.0005828124928574664,0.0005828124928574664,0.0005828124928574664,0.0005828124928574664,4.442952136991785,4.442952136991785,4.442952136991785,4.442952136991785,106.0,106.0,106.0,106.0,1,1
0,0.01722039716887676,0.01722039716887676,0.01722039716887676,0.01722039716887676,65.0,65.0,65.0,65.0,0.012815054903184598,0.012815054903184598,0.012815054903184598,0.012815054903184598,0.0002965199006986923,0.0002965199006986923,0.0002965199006986923,0.0002965199006986923,2.5342552489192656,2.5342552489192656,2.5342552489192656,2.5342552489192656,105.0,105.0,105.0,105.0,1,6
0,0.0242796358153115,0.0242796358153115,0.0242796358153115,0.0242796358153115,64.0,64.0,64.0,64.0,0.01767474592342712,0.01767474592342712,0.01767474592342712,0.01767474592342712,0.0005894822548011278,0.0005894822548011278,0.0005894822548011278,0.0005894822548011278,3.535105084400947,3.535105084400947,3.535105084400947,3.535105084400947,101.0,101.0,101.0,101.0,1,3
0,0.023945847492627827,0.023945847492627827,0.023945847492627827,0.023945847492627827,68.0,68.0,68.0,68.0,0.017356807186803387,0.017356807186803387,0.017356807186803387,0.017356807186803387,0.0005733020702584505,0.0005733020702584505,0.0005733020702584505,0.0005733020702584505,3.4947005670853004,3.4947005670853004,3.4947005670853004,3.4947005670853004,109.0,109.0,109.0,109.0,1,2
0,0.004407805842492362,0.004407805842492362,0.004407805842492362,0.004407805842492362,76.0,76.0,76.0,76.0,0.003548964609879403,0.003548964609879403,0.003548964609879403,0.003548964609879403,1.9427880858036315e-05,1.9427880858036315e-05,1.9427880858036315e-05,1.9427880858036315e-05,0.7706742915307174,0.7706742915307174,0.7706742915307174,0.7706742915307174,124.0,124.0,124.0,124.0,1,4
0,0.04436075959252537,0.04436075959252537,0.04436075959252537,0.04436075959252537,75.0,75.0,75.0,75.0,0.034638120191874795,0.034638120191874795,0.034638120191874795,0.034638120191874795,0.0019678018904165395,0.0019678018904165395,0.0019678018904165395,0.0019678018904165395,7.987373191017274,7.987373191017274,7.987373191017274,7.987373191017274,104.0,104.0,104.0,104.0,1,5
0,0.012960359236083609,0.012960359236083609,0.012960359236083609,0.012960359236083609,70.0,70.0,70.0,70.0,0.008012700883934725,0.008012700883934725,0.008012700883934725,0.008012700883934725,0.00016795958472850706,0.00016795958472850706,0.00016795958472850706,0.00016795958472850706,1.6535148742948005,1.6535148742948005,1.6535148742948005,1.6535148742948005,103.0,103.0,103.0,103.0,1,4
0,0.015205546479836733,0.015205546479836733,0.015205546479836733,0.015205546479836733,61.0,61.0,61.0,61.0,0.011579779481484219,0.011579779481484219,0.011579779481484219,0.011579779481484219,0.00023112797564889392,0.00023112797564889392,0.00023112797564889392,0.00023112797564889392,2.135961668841841,2.135961668841841,2.135961668841841,2.135961668841841,101.0,101.0,101.0,101.0,1,6
0,0.01744603349517439,0.01744603349517439,0.01744603349517439,0.01744603349517439,63.0,63.0,63.0,63.0,0.013536915233580216,0.013536915233580216,0.013536915233580216,0.013536915233580216,0.00030433268326192044,0.00030433268326192044,0.00030433268326192044,0.00030433268326192044,2.7139419213865574,2.7139419213865574,2.7139419213865574,2.7139419213865574,93.0,93.0,93.0,93.0,1,2
0,0.019425032376228304,0.019425032376228304,0.019425032376228304,0.019425032376228304,78.0,78.0,78.0,78.0,0.01474481273885517,0.01474481273885517,0.01474481273885517,0.01474481273885517,0.00037729443065029176,0.00037729443065029176,0.00037729443065029176,0.00037729443065029176,3.3536375971816677,3.3536375971816677,3.3536375971816677,3.3536375971816677,108.0,108.0,108.0,108.0,1,1
0,0.018002147616688776,0.018002147616688776,0.018002147616688776,0.018002147616688776,61.0,61.0,61.0,61.0,0.013162077376864423,0.013162077376864423,0.013162077376864423,0.013162077376864423,0.0003240728208891085,0.0003240728208891085,0.0003240728208891085,0.0003240728208891085,2.5841851133923983,2.5841851133923983,2.5841851133923983,2.5841851133923983,92.0,92.0,92.0,92.0,1,3
