,rms0,rms1,rms2,rms3,zc0,zc1,zc2,zc3,mav0,mav1,mav2,mav3,var0,var1,var2,var3,wl0,wl1,wl2,wl3,ssc0,ssc1,ssc2,ssc3,contraction,output
0,0.007871857431791425,0.007871857431791425,0.007871857431791425,0.007871857431791425,57.0,57.0,57.0,57.0,0.006396685276183546,0.006396685276183546,0.006396685276183546,0.006396685276183546,6.19634781396962e-05,6.19634781396962e-05,6.19634781396962e-05,6.19634781396962e-05,1.141603372398269,1.141603372398269,1.141603372398269,1.141603372398269,106.0,106.0,106.0,106.0,1,6
0,0.02327097941396742,0.02327097941396742,0.02327097941396742,0.02327097941396742,72.0,72.0,72.0,72.0,0.017327165080695442,0.017327165080695442,0.017327165080695442,0.017327165080695442,0.0005415126598983233,0.0005415126598983233,0.0005415126598983233,0.0005415126598983233,3.916559951518969,3.916559951518969,3.916559951518969,3.916559951518969,102.0,102.0,102.0,102.0,1,5
0,0.006934360474095135,0.006934360474095135,0.006934360474095135,0.006934360474095135,58.0,58.0,58.0,58.0,0.005444281114392583,0.005444281114392583,0.005444281114392583,0.005444281114392583,4.807309757515327e-05,4.807309757515327e-05,4.807309757515327e-05,4.807309757515327e-05,1.068762262258935,1.068762262258935,1.068762262258935,1.068762262258935,102.0,102.0,102.0,102.0,1,4
0,0.01263886863943267,0.01263886863943267,0.01263886863943267,0.01263886863943267,84.0,84.0,84.0,84.0,0.009730945238978977,0.009730945238978977,0.009730945238978977,0.009730945238978977,0.00015969745532298574,0.00015969745532298574,0.00015969745532298574,0.00015969745532298574,2.4629788972170505,2.4629788972170505,2.4629788972170505,2.4629788972170505,117.0,117.0,117.0,117.0,1,1
0,0.012935409218227235,0.012935409218227235,0.012935409218227235,0.012935409218227235,79.0,79.0,79.0,79.0,0.009129981771469915,0.009129981771469915,0.009129981771469915,0.009129981771469915,0.00016727326375154367,0.00016727326375154367,0.00016727326375154367,0.00016727326375154367,2.1838720667681213,2.1838720667681213,2.1838720667681213,2.1838720667681213,104.0,104.0,104.0,104.0,1,2
0,0.012297576928338097,0.012297576928338097,0.012297576928338097,0.012297576928338097,52.0,52.0,52.0,52.0,0.010082645727844905,0.010082645727844905,0.010082645727844905,0.010082645727844905,0.0001512303980030636,0.0001512303980030636,0.0001512303980030636,0.0001512303980030636,1.4949997013197933,1.4949997013197933,1.4949997013197933,1.4949997013197933,101.0,101.0,101.0,101.0,1,3
0,0.018705022586326347,0.018705022586326347,0.018705022586326347,0.018705022586326347,80.0,80.0,80.0,80.0,0.013721552904694456,0.013721552904694456,0.013721552904694456,0.013721552904694456,0.0003498776730926776,0.0003498776730926776,0.0003498776730926776,0.0003498776730926776,3.447167041407873,3.447167041407873,3.447167041407873,3.447167041407873,106.0,106.0,106.0,106.0,1,2
0,0.008703112150164866,0.008703112150164866,0.008703112150164866,0.008703112150164866,55.0,55.0,55.0,55.0,0.007062582824895694,0.007062582824895694,0.007062582824895694,0.007062582824895694,7.57433418589458e-05,7.57433418589458e-05,7.57433418589458e-05,7.57433418589458e-05,1.3361175828866867,1.3361175828866867,1.3361175828866867,1.3361175828866867,101.0,101.0,101.0,101.0,1,4
0,0.04440227496527532,0.04440227496527532,0.04440227496527532,0.04440227496527532,76.0,76.0,76.0,76.0,0.03201089487644683,0.03201089487644683,0.03201089487644683,0.03201089487644683,0.0019713210474426733,0.0019713210474426733,0.0019713210474426733,0.0019713210474426733,7.364143921411931,7.364143921411931,7.364143921411931,7.364143921411931,96.0,96.0,96.0,96.0,1,5
0,0.01928783122093874,0.01928783122093874,0.01928783122093874,0.01928783122093874,50.0,50.0,50.0,50.0,0.014898920124150084,0.014898920124150084,0.014898920124150084,0.014898920124150084,0.00037195744070310483,0.00037195744070310483,0.00037195744070310483,0.00037195744070310483,2.629851460402932,2.629851460402932,2.629851460402932,2.629851460402932,101.0,101.0,101.0,101.0,1,3
