,rms0,rms1,rms2,rms3,zc0,zc1,zc2,zc3,mav0,mav1,mav2,mav3,var0,var1,var2,var3,wl0,wl1,wl2,wl3,ssc0,ssc1,ssc2,ssc3,contraction,output
0,0.10527241030329623,0.10527241030329623,0.10527241030329623,0.10527241030329623,75.0,75.0,75.0,75.0,0.08237832651499408,0.08237832651499408,0.08237832651499408,0.08237832651499408,0.011082196449203958,0.011082196449203958,0.011082196449203958,0.011082196449203958,19.755966974474692,19.755966974474692,19.755966974474692,19.755966974474692,114.0,114.0,114.0,114.0,1,5
0,0.0190952953942138,0.0190952953942138,0.0190952953942138,0.0190952953942138,76.0,76.0,76.0,76.0,0.014506331753648141,0.014506331753648141,0.014506331753648141,0.014506331753648141,0.00036462373150328406,0.00036462373150328406,0.00036462373150328406,0.00036462373150328406,3.3314762494800556,3.3314762494800556,3.3314762494800556,3.3314762494800556,107.0,107.0,107.0,107.0,1,1
0,0.017178526076845113,0.017178526076845113,0.017178526076845113,0.017178526076845113,71.0,71.0,71.0,71.0,0.012871434910396573,0.012871434910396573,0.012871434910396573,0.012871434910396573,0.00029509706537128436,0.00029509706537128436,0.00029509706537128436,0.00029509706537128436,2.9216798416802776,2.9216798416802776,2.9216798416802776,2.9216798416802776,106.0,106.0,106.0,106.0,1,2
0,0.010487038407302238,0.010487038407302238,0.010487038407302238,0.010487038407302238,66.0,66.0,66.0,66.0,0.008008315215967591,0.008008315215967591,0.008008315215967591,0.008008315215967591,0.00010996662755848333,0.00010996662755848333,0.00010996662755848333,0.00010996662755848333,1.7585221767744215,1.7585221767744215,1.7585221767744215,1.7585221767744215,95.0,95.0,95.0,95.0,1,4
0,0.036226629373415996,0.036226629373415996,0.036226629373415996,0.036226629373415996,82.0,82.0,82.0,82.0,0.02524456811832643,0.02524456811832643,0.02524456811832643,0.02524456811832643,0.0013116850102557892,0.0013116850102557892,0.0013116850102557892,0.0013116850102557892,6.305264720825374,6.305264720825374,6.305264720825374,6.305264720825374,107.0,107.0,107.0,107.0,1,6
0,0.019371903039236128,0.019371903039236128,0.019371903039236128,0.019371903039236128,54.0,54.0,54.0,54.0,0.01274357207058827,0.01274357207058827,0.01274357207058827,0.01274357207058827,0.00037526941017004047,0.00037526941017004047,0.00037526941017004047,0.00037526941017004047,2.2926877643302657,2.2926877643302657,2.2926877643302657,2.2926877643302657,83.0,83.0,83.0,83.0,1,3
0,0.017125583945262007,0.017125583945262007,0.017125583945262007,0.017125583945262007,68.0,68.0,68.0,68.0,0.013445519794049248,0.013445519794049248,0.013445519794049248,0.013445519794049248,0.00029323585241490644,0.00029323585241490644,0.00029323585241490644,0.00029323585241490644,2.961024583838915,2.961024583838915,2.961024583838915,2.961024583838915,92.0,92.0,92.0,92.0,1,1
0,0.09644414711243277,0.09644414711243277,0.09644414711243277,0.09644414711243277,85.0,85.0,85.0,85.0,0.07304502538511859,0.07304502538511859,0.07304502538511859,0.07304502538511859,0.009301471424785128,0.009301471424785128,0.009301471424785128,0.009301471424785128,17.372761814078192,17.372761814078192,17.372761814078192,17.372761814078192,103.0,103.0,103.0,103.0,1,5
0,0.0158551129321161,0.0158551129321161,0.0158551129321161,0.0158551129321161,79.0,79.0,79.0,79.0,0.011772132263782906,0.011772132263782906,0.011772132263782906,0.011772132263782906,0.000251384447443732,0.000251384447443732,0.000251384447443732,0.000251384447443732,3.0021585650812583,3.0021585650812583,3.0021585650812583,3.0021585650812583,110.0,110.0,110.0,110.0,1,4
0,0.015269206479839056,0.015269206479839056,0.015269206479839056,0.015269206479839056,60.0,60.0,60.0,60.0,0.010248331808670456,0.010248331808670456,0.010248331808670456,0.010248331808670456,0.0002331486662451343,0.0002331486662451343,0.0002331486662451343,0.0002331486662451343,1.8753435271157524,1.8753435271157524,1.8753435271157524,1.8753435271157524,86.0,86.0,86.0,86.0,1,3
0,0.02536779769977604,0.02536779769977604,0.02536779769977604,0.02536779769977604,86.0,86.0,86.0,86.0,0.018392702777734252,0.018392702777734252,0.018392702777734252,0.018392702777734252,0.0006430647207445977,0.0006430647207445977,0.0006430647207445977,0.0006430647207445977,4.757228683562671,4.757228683562671,4.757228683562671,4.757228683562671,111.0,111.0,111.0,111.0,1,6
0,0.02023198806128833,0.02023198806128833,0.02023198806128833,0.02023198806128833,55.0,55.0,55.0,55.0,0.014136515396974372,0.014136515396974372,0.014136515396974372,0.014136515396974372,0.00040930837652461167,0.00040930837652461167,0.00040930837652461167,0.00040930837652461167,2.424928202071187,2.424928202071187,2.424928202071187,2.424928202071187,86.0,86.0,86.0,86.0,1,2
0,0.03812994110017259,0.03812994110017259,0.03812994110017259,0.03812994110017259,80.0,80.0,80.0,80.0,0.025921870360287685,0.025921870360287685,0.025921870360287685,0.025921870360287685,0.0014537851530000373,0.0014537851530000373,0.0014537851530000373,0.0014537851530000373,6.26960098714942,6.26960098714942,6.26960098714942,6.26960098714942,109.0,109.0,109.0,109.0,1,6
0,0.01203130608793246,0.01203130608793246,0.01203130608793246,0.01203130608793246,89.0,89.0,89.0,89.0,0.009132618947651059,0.009132618947651059,0.009132618947651059,0.009132618947651059,0.0001447134890900042,0.0001447134890900042,0.0001447134890900042,0.0001447134890900042,2.406355459692768,2.406355459692768,2.406355459692768,2.406355459692768,110.0,110.0,110.0,110.0,1,4
0,0.0709041021094044,0.0709041021094044,0.0709041021094044,0.0709041021094044,77.0,77.0,77.0,77.0,0.054742147481535657,0.054742147481535657,0.054742147481535657,0.054742147481535657,0.005026270360663878,0.005026270360663878,0.005026270360663878,0.005026270360663878,13.388435223406322,13.388435223406322,13.388435223406322,13.388435223406322,105.0,105.0,105.0,105.0,1,5
0,0.007868406005677887,0.007868406005677887,0.007868406005677887,0.007868406005677887,50.0,50.0,50.0,50.0,0.005734092801887687,0.005734092801887687,0.005734092801887687,0.005734092801887687,6.190758856046965e-05,6.190758856046965e-05,6.190758856046965e-05,6.190758856046965e-05,1.015825870641062,1.015825870641062,1.015825870641062,1.015825870641062,81.0,81.0,81.0,81.0,1,3
0,0.026625430774075483,0.026625430774075483,0.026625430774075483,0.026625430774075483,71.0,71.0,71.0,71.0,0.02003900402929827,0.02003900402929827,0.02003900402929827,0.02003900402929827,0.0007088031769266655,0.0007088031769266655,0.0007088031769266655,0.0007088031769266655,4.041791811772185,4.041791811772185,4.041791811772185,4.041791811772185,96.0,96.0,96.0,96.0,1,2
0,0.0207302705652312,0.0207302705652312,0.0207302705652312,0.0207302705652312,77.0,77.0,77.0,77.0,0.01600428636992668,0.01600428636992668,0.01600428636992668,0.01600428636992668,0.00042965808943717503,0.00042965808943717503,0.00042965808943717503,0.00042965808943717503,3.543635981406444,3.543635981406444,3.543635981406444,3.543635981406444,113.0,113.0,113.0,113.0,1,1
0,0.024370678303689462,0.024370678303689462,0.024370678303689462,0.024370678303689462,65.0,65.0,65.0,65.0,0.019205832954247107,0.019205832954247107,0.019205832954247107,0.019205832954247107,0.0005937083920239806,0.0005937083920239806,0.0005937083920239806,0.0005937083920239806,4.129378442609292,4.129378442609292,4.129378442609292,4.129378442609292,96.0,96.0,96.0,96.0,1,2
0,0.030884180276067028,0.030884180276067028,0.030884180276067028,0.030884180276067028,72.0,72.0,72.0,72.0,0.022591002288953593,0.022591002288953593,0.022591002288953593,0.022591002288953593,0.0009538162943589921,0.0009538162943589921,0.0009538162943589921,0.0009538162943589921,4.794718306933974,4.794718306933974,4.794718306933974,4.794718306933974,91.0,91.0,91.0,91.0,1,3
0,0.06021002003339999,0.06021002003339999,0.06021002003339999,0.06021002003339999,85.0,85.0,85.0,85.0,0.04587839491456552,0.04587839491456552,0.04587839491456552,0.04587839491456552,0.0036251888972241007,0.0036251888972241007,0.0036251888972241007,0.0036251888972241007,11.45558825321747,11.45558825321747,11.45558825321747,11.45558825321747,113.0,113.0,113.0,113.0,1,5
0,0.009078259302969483,0.009078259302969483,0.009078259302969483,0.009078259302969483,79.0,79.0,79.0,79.0,0.0071854382118875385,0.0071854382118875385,0.0071854382118875385,0.0071854382118875385,8.238768718965282e-05,8.238768718965282e-05,8.238768718965282e-05,8.238768718965282e-05,1.6809690709418776,1.6809690709418776,1.6809690709418776,1.6809690709418776,108.0,108.0,108.0,108.0,1,4
0,0.01037723584233726,0.01037723584233726,0.01037723584233726,0.01037723584233726,66.0,66.0,66.0,66.0,0.007294937153616514,0.007294937153616514,0.007294937153616514,0.007294937153616514,0.00010767626973406549,0.00010767626973406549,0.00010767626973406549,0.00010767626973406549,1.4896533809339392,1.4896533809339392,1.4896533809339392,1.4896533809339392,86.0,86.0,86.0,86.0,1,1
